,URL,Status,price,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,parkingCountClosedBox,primaryEnergyConsumptionPerSqm,epcScore,hasDoubleGlazing,saleType
10655844,https://www.immoweb.be/en/classified/10655844,200,445000.0,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Eeklo,Eeklo,9900,Hazelaarstraat,22,,,4.0,275.0,1988.0,3.0,,False,HYPER_EQUIPPED,True,,,,468.0,True,False,,1.0,1.0,2.0,1.0,,,151.0,B,True,
10655537,https://www.immoweb.be/en/classified/10655537,200,495000.0,HOUSE,MIXED_USE_BUILDING,Belgium,Flanders,East Flanders,Gent,Gent,9000,Engelbert van Arenbergstraat,28 + 30,,,6.0,295.0,1963.0,3.0,,,SEMI_EQUIPPED,,,True,6.0,365.0,True,,,3.0,0.0,3.0,,,,523.0,F,True,
10655121,https://www.immoweb.be/en/classified/10655121,200,259000.0,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Aalst,Aalst,9300,Twijnderstraat,"20,",,,3.0,146.0,,2.0,,False,,,,,,148.0,False,False,,1.0,0.0,1.0,,,,238.0,C,True,
10654023,https://www.immoweb.be/en/classified/10654023,200,315000.0,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Gent,9000,Keizer Karelstraat,113,203,2.0,1.0,69.0,1900.0,2.0,3.0,True,USA_HYPER_EQUIPPED,,,True,12.0,,False,False,,1.0,0.0,1.0,,,,166.0,B,True,
10649460,https://www.immoweb.be/en/classified/10649460,200,1450000.0,APARTMENT,PENTHOUSE,Belgium,Brussels,Brussels,Brussels,Ixelles,1050,Avenue Louise,385,,10.0,3.0,290.0,1954.0,2.0,10.0,True,HYPER_EQUIPPED,,,True,40.0,,False,,,2.0,1.0,2.0,1.0,2.0,,195.0,D,,
10649446,https://www.immoweb.be/en/classified/10649446,200,375000.0,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Ixelles,1050,Rue St Georges,96,,4.0,2.0,85.0,1920.0,2.0,4.0,True,USA_HYPER_EQUIPPED,,,True,2.0,,False,,,2.0,0.0,2.0,,,,747.0,G,True,
10648643,https://www.immoweb.be/en/classified/10648643,200,1839000.0,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Ixelles,1050,Avenue de la Toison d'Or,17,,7.0,3.0,203.0,2015.0,2.0,9.0,True,HYPER_EQUIPPED,,,True,76.0,,False,False,,2.0,0.0,3.0,,,,63.0,B,True,
10647497,https://www.immoweb.be/en/classified/10647497,200,355000.0,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Gent,9000,Brugsepoortstraat,9,,2.0,2.0,120.0,1850.0,2.0,3.0,False,INSTALLED,,,,,,False,False,,1.0,0.0,,,,,198.0,B,,
10643043,https://www.immoweb.be/en/classified/10643043,200,650000.0,APARTMENT,GROUND_FLOOR,Belgium,Brussels,Brussels,Brussels,Ixelles,1050,Rue de Belle-Vue,16,,1.0,2.0,150.0,1967.0,2.0,6.0,True,SEMI_EQUIPPED,True,270.0,,,,False,False,,2.0,1.0,3.0,,1.0,,135.0,C,True,
10642679,https://www.immoweb.be/en/classified/10642679,200,525000.0,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Gent,9000,Jozef Plateaustraat,61,,3.0,2.0,157.0,1949.0,4.0,4.0,False,INSTALLED,,,True,16.0,,False,False,,1.0,0.0,,,,,275.0,C,,
10639385,https://www.immoweb.be/en/classified/10639385,200,699000.0,HOUSE,HOUSE,Belgium,Brussels,Brussels,Brussels,Auderghem,1160,Avenue de Vandromme,28,,,4.0,270.0,1931.0,2.0,,,INSTALLED,True,83.0,True,,151.0,False,,,3.0,0.0,4.0,,,,366.0,G,True,
